drug,event,total_cases,median_age,age_range,sex_distribution,age_group_distribution,top_countries
DUPIXENT,Injection site pain,3061,50.0,1-96,"{'Female': 2054, 'Male': 971, 'Unknown': 36}","{'Middle-aged (45-64)': 753, 'Adult (18-44)': 682, 'Older adult (65-74)': 384, 'Pediatric (0-17)': 352, 'Elderly (75+)': 238}","{'US': 3049, 'CA': 2, 'AU': 1, 'EU': 1}"
TYMLOS,Heart rate increased,1387,64.0,28-93,"{'Female': 1336, 'Male': 44, 'Unknown': 7}","{'Middle-aged (45-64)': 385, 'Older adult (65-74)': 259, 'Elderly (75+)': 104, 'Adult (18-44)': 10, 'Pediatric (0-17)': 0}",{'US': 1385}
TYMLOS,Bone pain,859,65.0,31-93,"{'Female': 821, 'Male': 29, 'Unknown': 9}","{'Middle-aged (45-64)': 178, 'Older adult (65-74)': 136, 'Elderly (75+)': 59, 'Adult (18-44)': 3, 'Pediatric (0-17)': 0}",{'US': 857}
TYMLOS,Palpitations,1213,65.0,29-93,"{'Female': 1175, 'Male': 23, 'Unknown': 15}","{'Middle-aged (45-64)': 315, 'Older adult (65-74)': 224, 'Elderly (75+)': 106, 'Adult (18-44)': 5, 'Pediatric (0-17)': 0}","{'US': 1211, 'CH': 1}"
DUPIXENT,Skin burning sensation,672,45.0,1-87,"{'Female': 444, 'Male': 226, 'Unknown': 2}","{'Adult (18-44)': 234, 'Middle-aged (45-64)': 196, 'Older adult (65-74)': 88, 'Pediatric (0-17)': 78, 'Elderly (75+)': 42}",{'US': 671}
DUPIXENT,Dry eye,921,48.0,1-94,"{'Female': 599, 'Male': 318, 'Unknown': 4}","{'Adult (18-44)': 280, 'Middle-aged (45-64)': 210, 'Older adult (65-74)': 112, 'Elderly (75+)': 86, 'Pediatric (0-17)': 66}","{'US': 914, 'KR': 1}"
DUPIXENT,Injection site swelling,822,42.0,1-91,"{'Female': 515, 'Male': 296, 'Unknown': 11}","{'Adult (18-44)': 242, 'Middle-aged (45-64)': 190, 'Pediatric (0-17)': 126, 'Older adult (65-74)': 91, 'Elderly (75+)': 35}","{'US': 820, 'JP': 1}"
TYMLOS,Headache,2771,65.0,18-95,"{'Female': 2678, 'Male': 65, 'Unknown': 28}","{'Middle-aged (45-64)': 708, 'Older adult (65-74)': 526, 'Elderly (75+)': 236, 'Adult (18-44)': 16, 'Pediatric (0-17)': 0}","{'US': 2766, 'JO': 1}"
ACETAMINOPHEN,Exposure to toxic agent,271,58.0,13-92,"{'Female': 168, 'Male': 102, 'Unknown': 1}","{'Middle-aged (45-64)': 100, 'Adult (18-44)': 63, 'Older adult (65-74)': 55, 'Elderly (75+)': 36, 'Pediatric (0-17)': 13}",{'US': 271}
TYMLOS,Injection site bruising,612,65.0,42-90,"{'Female': 599, 'Male': 12, 'Unknown': 1}","{'Middle-aged (45-64)': 147, 'Older adult (65-74)': 107, 'Elderly (75+)': 54, 'Adult (18-44)': 2, 'Pediatric (0-17)': 0}",{'US': 612}
